Timestamp,RPM,Speed (km/h),Coolant Temp (C),Throttle (%),Battery (V),Intake Temp (C)
2026-01-25 18:36:41,1125,90,40,35.3,7.2,40
2026-01-25 18:36:43,1125,90,40,35.3,7.2,40
2026-01-25 18:36:45,1125,90,40,35.3,7.2,40
2026-01-25 18:36:46,1125,90,40,35.3,7.2,40
2026-01-25 18:36:48,1125,90,40,35.3,7.2,40
2026-01-25 18:36:49,1125,90,40,35.3,7.2,40
2026-01-25 18:36:51,1125,90,40,35.3,7.2,40
2026-01-25 18:36:53,1125,90,40,35.3,7.2,40
2026-01-25 18:36:54,1125,90,40,35.3,7.2,40
2026-01-25 18:36:56,1125,90,40,35.3,7.2,40
2026-01-25 18:36:58,1125,90,40,35.3,7.2,40
2026-01-25 18:36:59,1125,90,40,35.3,7.2,40
2026-01-25 18:37:01,1125,90,40,35.3,7.2,40
2026-01-25 18:37:02,1125,90,40,35.3,7.2,40
2026-01-25 18:37:04,1125,90,40,35.3,7.2,40
2026-01-25 18:37:06,1125,90,40,35.3,7.2,40
2026-01-25 18:37:07,1125,90,40,35.3,7.2,40
2026-01-25 18:37:09,1125,90,40,35.3,7.2,40
2026-01-25 18:37:10,1125,90,40,35.3,7.2,40
2026-01-25 18:37:12,1125,90,40,35.3,7.2,40
2026-01-25 18:37:14,1125,90,40,35.3,7.2,40
2026-01-25 18:37:15,1125,90,40,35.3,7.2,40
2026-01-25 18:37:17,1125,90,40,35.3,7.2,40
2026-01-25 18:37:19,1125,90,40,35.3,7.2,40
2026-01-25 18:37:20,1125,90,40,35.3,7.2,40
2026-01-25 18:37:22,1125,90,40,35.3,7.2,40
2026-01-25 18:37:23,1125,90,40,35.3,7.2,40
2026-01-25 18:37:25,1125,90,40,35.3,7.2,40
2026-01-25 18:37:27,1125,90,40,35.3,7.2,40
2026-01-25 18:37:28,1125,90,40,35.3,7.2,40
2026-01-25 18:37:30,1125,90,40,35.3,7.2,40
2026-01-25 18:37:31,1125,90,40,35.3,7.2,40
2026-01-25 18:37:33,1125,90,40,35.3,7.2,40
2026-01-25 18:37:35,1125,90,40,35.3,7.2,40
2026-01-25 18:37:36,1125,90,40,35.3,7.2,40
2026-01-25 18:37:38,1125,90,40,35.3,7.2,40
2026-01-25 18:37:39,1125,90,40,35.3,7.2,40
2026-01-25 18:37:41,1125,90,40,35.3,7.2,40
